idx,count
1061,1
1062,1
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,1
1070,0
1071,0
1072,0
1073,1
1074,0
1075,0
1076,0
1077,0
1078,1
1079,1
1080,0
1081,0
1082,0
1083,2
1084,0
1085,1
1086,0
1087,0
1088,0
1089,1
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,1
1099,0
1100,0
1101,1
1102,0
1103,0
1104,1
1105,0
1106,1
1107,1
1108,0
1109,1
1110,0
1111,0
1112,0
1113,1
1114,1
1115,0
1116,1
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,2
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,1
1133,0
1134,1
1135,0
1136,1
1137,0
1138,0
1139,0
1140,0
1141,1
1142,0
1143,0
1144,1
1145,0
1146,0
1147,0
1148,0
1149,1
1150,0
1151,0
1152,0
1153,1
1154,0
1155,0
1156,3
1157,0
1158,0
1159,1
1160,0
1161,0
1162,0
1163,2
1164,0
1165,0
1166,0
1167,0
1168,2
1169,0
1170,0
1171,0
1172,0
1173,1
1174,0
1175,0
1176,0
1177,1
1178,1
1179,0
1180,0
1181,1
1182,1
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,1
1194,1
1195,1
1196,1
1197,0
1198,0
1199,0
1200,0
1201,0
1202,2
1203,0
1204,0
1205,0
1206,0
1207,0
1208,1
1209,0
1210,0
1211,1
1212,1
1213,0
1214,1
1215,1
1216,1
1217,0
1218,1
1219,0
1220,1
1221,2
1222,2
1223,0
1224,0
1225,1
1226,0
1227,0
1228,0
1229,0
1230,2
1231,0
1232,0
1233,0
1234,0
1235,1
1236,0
1237,0
1238,1
1239,0
1240,0
1241,0
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,2
1250,0
1251,2
1252,0
1253,0
1254,1
1255,0
1256,1
1257,0
1258,2
1259,0
1260,3
1261,2
1262,0
1263,1
1264,0
1265,0
1266,0
1267,0
1268,0
1269,0
1270,0
1271,0
1272,1
1273,0
1274,1
1275,2
1276,1
1277,0
1278,1
1279,0
1280,0
1281,1
1282,0
1283,2
1284,1
1285,1
1286,0
1287,0
1288,2
1289,1
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,0
1297,2
1298,0
1299,0
1300,1
1301,1
1302,0
1303,0
1304,0
1305,1
1306,1
1307,0
1308,0
1309,0
1310,2
1311,0
1312,0
1313,0
1314,0
1315,0
1316,1
1317,0
1318,0
1319,1
1320,1
1321,2
1322,0
1323,1
1324,0
1325,1
1326,0
1327,0
1328,0
1329,1
1330,1
1331,0
1332,0
1333,0
1334,0
1335,0
1336,1
1337,0
1338,0
1339,0
1340,0
1341,0
1342,1
1343,0
1344,0
1345,0
1346,1
1347,0
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1355,1
1356,1
1357,0
1358,0
1359,0
1360,0
1361,0
1362,0
1363,2
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,1
1371,1
1372,0
1373,0
1374,0
1375,1
1376,0
1377,0
1378,3
1379,0
1380,2
1381,1
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,1
1389,1
1390,0
1391,1
1392,0
1393,0
1394,0
1395,0
1396,0
1397,1
1398,0
1399,0
1400,0
1401,0
1402,0
1403,0
1404,1
1405,1
1406,1
1407,0
1408,1
1409,2
1410,0
1411,1
1412,1
1413,0
1414,2
1415,1
1416,1
1417,1
1418,2
1419,0
1420,2
1421,0
1422,0
1423,2
1424,0
1425,0
1426,1
1427,1
1428,0
1429,1
1430,0
1431,0
1432,0
1433,1
1434,2
1435,0
1436,1
1437,1
1438,1
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,1
1446,1
1447,0
1448,0
1449,1
1450,1
1451,0
1452,2
1453,2
1454,0
1455,0
1456,2
1457,0
1458,0
1459,0
1460,0
1461,0
1462,0
1463,1
1464,2
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,1
1472,1
1473,0
1474,1
1475,0
1476,0
1477,0
1478,0
1479,2
1480,1
1481,1
1482,1
1483,0
1484,0
1485,0
1486,2
1487,1
1488,0
1489,0
1490,0
1491,0
1492,1
1493,0
1494,0
1495,0
1496,3
1497,1
1498,0
1499,2
1500,0
1501,0
1502,0
1503,1
1504,0
1505,1
1506,0
1507,1
1508,0
1509,1
1510,1
1511,0
1512,1
1513,0
1514,1
1515,1
1516,0
1517,1
1518,0
1519,1
1520,0
1521,0
1522,1
1523,0
1524,0
1525,0
1526,0
1527,0
1528,0
1529,1
1530,0
1531,0
1532,0
1533,0
1534,1
1535,1
1536,0
1537,0
1538,0
1539,0
1540,1
1541,2
1542,1
1543,1
1544,2
1545,0
1546,1
1547,1
1548,0
1549,2
1550,1
1551,1
1552,0
1553,1
1554,0
1555,0
1556,0
1557,1
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,1
1566,0
1567,0
1568,0
1569,0
1570,0
1571,0
1572,0
1573,1
1574,1
1575,0
1576,1
1577,1
1578,0
1579,0
1580,0
1581,0
1582,1
1583,0
1584,1
1585,0
1586,0
1587,2
1588,0
1589,0
1590,1
1591,0
1592,0
1593,1
1594,0
1595,0
1596,0
