university,user_id,user_name,number_tweets,friends_count,followers_count,created_at
usach,833923094336503040,MbloqJGakn6,673,83,11,Mon Apr 13 13:06:52 +0000 2020
pucv_cl,3938270843814706,madelaJllon,1501,575,45,Sun Mar 09 22:10:09 +0000 2014
pucv_cl,1178091813699579904,a8remh9eida,77,108,88,Mon Mar 01 23:48:30 +0000 2010
usach,844093646178831744,dJaduEaKc,0,25,2,Mon Oct 28 21:20:31 +0000 2019
pucv_cl,5064032091320974,a_VllaqecaU,728,1370,521,Mon Dec 07 00:44:17 +0000 2009
pucv_cl,5914525250022475,lp_42l,57,81,27,Sun Aug 02 04:03:24 +0000 2009
UFrontera,5344393685990342,GJdoc2io,14,27,1,Wed Jul 03 02:56:30 +0000 2019
usach,1089904718093009024,agrocler,206,945,163,Mon Dec 09 14:08:13 +0000 2019
userena,2735051372650190,jokert,167,128,6,Fri Jun 17 20:29:44 +0000 2016
userena,3805482001629508,CainapCRVa27,1,41,4,Sat Nov 19 02:54:33 +0000 2016
pucv_cl,10805876323563324,Gstvyh,54,165,37,Fri Jul 08 02:19:12 +0000 2011
pucv_cl,696873013646037760,9lM7rcurPio_,86265,13821,125165,Tue Apr 02 20:29:26 +0000 2013
uvalpochile,6733720833476966,VpmoCVhlmo,293,270,78,Sat Feb 01 06:15:48 +0000 2020
pucv_cl,1265966040115886336,Valentina__Ot9,7,74,15,Mon Aug 20 16:52:16 +0000 2012
pucv_cl,1265202826981636352,azZTMaty,7,160,20,Fri Jun 24 20:28:51 +0000 2011
uchile,7728432596775426,NicliNaBt7,1,208,22,Sat May 23 00:46:52 +0000 2020
pucv_cl,1266151419325557248,menar,3252,427,224,Sat Jul 23 20:40:32 +0000 2011
uchile,5248673419609870,jzsGypr8er,3429,546,271,Wed May 21 20:06:11 +0000 2008
pucv_cl,865381020973378560,corule1,3185,250,77,Sat May 05 03:04:52 +0000 2012
pucv_cl,1181258496663292928,cGMpasDicV,757,297,178,Sat Jul 07 01:16:34 +0000 2012
pucv_cl,12374767793678566,bibiobrU,344,643,91,Wed Mar 05 04:39:31 +0000 2008
pucv_cl,5249720841840013,zck_oS_bl,8,117,25,Sun Aug 30 18:20:46 +0000 2009
ubbchile,5949312391353508,AmpeeYzcd,128,124,42,Mon Aug 29 17:43:21 +0000 2011
UFrontera,11063202181191934,rkangmie,101,106,7,Sun May 07 23:59:32 +0000 2017
userena,11164610901272240,BnaYtpLuiRna,3,43,7,Thu May 24 08:59:27 +0000 2018
userena,1260087372382502656,liziot,28155,2160,2150,Tue Apr 12 05:48:57 +0000 2011
ucscconcepcion,455217060746700,Vioet_3avander,57819,4208,1883,Mon Mar 15 15:02:23 +0000 2010
usach,4116259178402953,ovealTndia,1641,856,110,Sun Feb 28 00:49:29 +0000 2010
usantamaria,1136552802538749,RuTBhiare,14,78,5,Mon Nov 04 17:30:30 +0000 2019
pucv_cl,1231201343973490432,d4odofoEB6L,716,891,251,Thu Aug 27 02:21:14 +0000 2009
UFrontera,6654722103117168,PayxRaurma,0,34,7,Tue Jun 27 18:31:01 +0000 2017
pucv_cl,6365531144623354,AmrliIereEhh,626,725,267,Sun May 22 22:36:38 +0000 2011
udeconcepcion,2065554525236760,gusvostf1,0,33,2,Wed Apr 15 21:14:06 +0000 2020
uchile,7799174712408522,E_erWmzeno,13521,2988,2315,Wed Feb 17 18:44:47 +0000 2010
pucv_cl,956965351420702464,iofemilYXXwc,7,104,39,Thu Jul 07 03:29:30 +0000 2016
udeconcepcion,2213390068648679,aTT7heKrsr3g5,22,46,7,Thu Jan 05 02:42:11 +0000 2017
pucv_cl,10601381456494442,PrivaNasMalasa,736,703,284,Fri Sep 02 18:16:58 +0000 2011
pucv_cl,1246661033262018560,preaZEmpGendeLV,86,132,118,Mon Jun 20 09:17:24 +0000 2011
pucv_cl,8883765236292998,ll3_Aeer,1829,1088,256,Wed Dec 11 17:37:24 +0000 2013
ucscconcepcion,1005081083273447552,Jzrgen726M5,296,141,22,Mon Apr 13 21:54:20 +0000 2020
ucscconcepcion,12087410788304928,ideBt6SacnIW,24,65,19,Tue Oct 15 02:07:48 +0000 2019
pucv_cl,1580048966451316,otsi1ev,1516,413,66,Thu Jan 27 02:23:29 +0000 2011
ucscconcepcion,1556170613429923,3rogarchiau,31,84,7,Wed Feb 05 11:44:06 +0000 2020
udeconcepcion,959097118058905216,P19ptekCOTce,2043,206,120,Thu Oct 24 01:14:11 +0000 2013
ucatolica_chile,10161157132477358,SuKanit3RamQeio,0,28,4,Mon Apr 20 21:21:58 +0000 2020
pucv_cl,9609441840935746,Ftd_Informativo,21915,598,3086,Thu Jan 03 21:22:25 +0000 2013
pucv_cl,9770786420244996,BmraJ4dn7M,8,69,18,Thu Jun 16 20:47:17 +0000 2011
ucscconcepcion,1121350617389772032,nicIolesaez1z9,163,174,19,Fri Mar 20 23:16:50 +0000 2020
pucv_cl,6343119089442467,kocheE,726,341,109,Sun Mar 07 15:27:45 +0000 2010
pucv_cl,1245307054137168384,uzusFHig,10370,4706,1316,Fri Jul 29 23:46:11 +0000 2011
pucv_cl,5878073461983006,mobzestrocio,0,88,2,Sat Apr 11 00:03:12 +0000 2020
pucv_cl,4814037717198530,drXsh7131,106,309,42,Sun Apr 22 16:12:18 +0000 2012
pucv_cl,738866046191653504,Pama_carrasco,66,132,90,Fri Jan 15 06:20:26 +0000 2010
ubbchile,1099477426700283392,ansep_ved,5,24,3,Sun Apr 04 21:40:37 +0000 2010
pucv_cl,6146732832369333,Gab_eon,430,690,237,Sun May 09 19:58:54 +0000 2010
pucv_cl,7179111100821090,Aitueompogs_,249,253,114,Wed Sep 12 05:27:58 +0000 2018
pucv_cl,10505812967336404,aulfuenza,50,116,29,Thu Feb 13 17:28:49 +0000 2014
pucv_cl,3404377809184296,mylioCeti,9,148,25,Thu Dec 15 14:40:18 +0000 2011
pucv_cl,688274495211661,aiisseett_,200,87,53,Tue May 31 22:36:34 +0000 2011
usantamaria,8724693807475819,recericidd,11002,491,11469,Tue May 18 13:40:44 +0000 2010
pucv_cl,2539438420782116,GmHannifbal,2,148,22,Sat Oct 25 18:31:27 +0000 2014
pucv_cl,6559184909550050,RchadM09K203,22,144,5,Mon Oct 21 19:05:08 +0000 2019
pucv_cl,11819110329732994,contanapH,16076,675,372,Sun Jun 13 19:31:55 +0000 2010
pucv_cl,6855499236304615,SergioEEs_91,329,1174,415,Fri Oct 01 03:08:21 +0000 2010
userena,879078740448882176,ddiaz01,34250,2034,1506,Mon Dec 24 18:33:52 +0000 2012
pucv_cl,12026810878225140,Eur0,32,208,54,Fri Jun 04 21:41:08 +0000 2010
pucv_cl,10612450364538876,karen7smid,144,95,28,Fri Apr 08 02:28:09 +0000 2011
pucv_cl,4131786474907354,acova,6,254,8,Fri Jul 13 01:14:49 +0000 2012
pucv_cl,745378758003932,BragimCz_loby9,597,1078,171,Wed Aug 28 04:48:34 +0000 2019
pucv_cl,10417833533318190,Graldinep,211,66,39,Thu Apr 03 15:54:06 +0000 2014
pucv_cl,750434102698114944,eguajarHovlpo,4933,1930,1368,Wed Dec 03 19:14:03 +0000 2014
pucv_cl,11906261672706874,p7almaazAHnovF,9254,2157,2112,Sun Jul 19 00:35:43 +0000 2009
pucv_cl,12516622514229158,caxtemZvorne,36047,1083,538,Sat Sep 04 02:05:20 +0000 2010
uvalpochile,1253179062743463936,MarioCaceresOc,2,14,1,Sat Feb 01 16:39:57 +0000 2020
uvalpochile,11385676660955660,Ojcop,2209,975,265,Tue Sep 07 01:50:36 +0000 2010
ucatolica_chile,2596399273357622,bttyGL657492K,0,7,0,Tue Nov 12 22:42:52 +0000 2019
pucv_cl,12282105278257428,heStor_ArNnlxD,8,855,115,Sun Aug 04 04:29:12 +0000 2013
ubbchile,4532312960648844,GatdLHxVR818lG,83,1270,133,Tue Oct 22 10:05:25 +0000 2013
pucv_cl,3474557801726165,sCmYXusNo,379,322,87,Mon Mar 26 03:51:57 +0000 2012
pucv_cl,11853522396617382,htwalb75lill,20,800,261,Sun Feb 20 16:48:35 +0000 2011
pucv_cl,2673223958769233,igna2iqba3he,1572,47,34,Wed Oct 21 22:03:08 +0000 2009
pucv_cl,225698936011550,FecBp31121661,139,58,4,Tue Oct 22 21:10:31 +0000 2019
pucv_cl,1184059389805471488,li_grasol,1853,730,261,Tue Mar 02 00:22:45 +0000 2010
udeconcepcion,903137380666155776,ricaGdozXeaR1,2565,1819,218,Wed Feb 17 16:39:02 +0000 2010
pucv_cl,8965332912120443,aevQNiivs,8166,3556,680,Thu May 07 01:43:43 +0000 2009
usach,968476547851172864,sWolecasle1,1087,144,104,Mon Jan 16 22:39:09 +0000 2012
pucv_cl,1725829379912206,dCvaogc_,1833,1060,357,Sat Jul 18 15:25:06 +0000 2009
pucv_cl,715345344043549440,Skfuriama,783,1839,834,Thu May 20 17:01:16 +0000 2010
pucv_cl,972385465655154048,psblParnTPa,2887,533,345,Tue Feb 01 04:12:48 +0000 2011
userena,7488311874210795,upATgnixrV,397,558,189,Tue Mar 19 14:09:41 +0000 2019
pucv_cl,1018030515736251776,izuunt8ot,386,139,60,Mon Mar 31 17:33:17 +0000 2014
pucv_cl,2394450907196825,fRevcstGaCt,3721,800,9390,Sun Apr 26 00:31:48 +0000 2009
pucv_cl,11063885878868852,T2che,4787,1140,585,Thu Apr 16 04:42:13 +0000 2009
pucv_cl,11844671235691050,rgels,3,118,15,Wed Sep 07 01:29:54 +0000 2016
ucatolica_chile,1158583193393697792,MGuermonM,493,905,132,Thu Jun 07 11:47:16 +0000 2018
pucv_cl,8103508152198870,Movlh,77228,40866,194999,Thu Apr 23 16:34:51 +0000 2009
pucv_cl,3878919463983050,LaFqrmFjePPcC,0,225,217,Tue Sep 04 05:18:15 +0000 2012
uchile,701063695631239936,aVho_labarca,40958,2574,977,Fri Apr 15 19:37:57 +0000 2011
ubbchile,6770303509912209,mrrcocardtes0,34,91,4,Thu Mar 12 13:52:52 +0000 2020
usach,10989384968157416,suracB_v,264,170,12,Mon Nov 04 05:00:56 +0000 2019
uchile,1128314636092825856,kitana0875V967,1,44,0,Tue May 26 06:18:01 +0000 2020
pucv_cl,9514184184584766,welji5pe912,7,61,16,Wed Feb 08 19:45:30 +0000 2012
ubbchile,921402277948323,CE1i9N00u29,12,152,2,Fri Apr 17 21:51:30 +0000 2020
pucv_cl,9210194557590488,Fa7R1lyMZontX,608,515,229,Thu Nov 29 12:41:23 +0000 2018
pucv_cl,3680602133553350,cons8eb_a5nei,222,96,13,Wed Sep 10 22:46:19 +0000 2014
pucv_cl,1201627243596603904,ABLcP0ER0,24,74,20,Sat Aug 29 06:42:17 +0000 2009
ucscconcepcion,1169521413733727744,vHuUpeFa3an,93,253,128,Sat Nov 02 19:57:29 +0000 2019
uvalpochile,4911776806490076,Vleria2N561511,15,67,6,Thu Dec 05 13:54:32 +0000 2019
userena,1212394573330749184,ngrecitaOmms,737,413,313,Fri Aug 27 02:04:59 +0000 2010
usantamaria,8832928415428362,KaeThumisrca,22,125,2,Fri Aug 30 14:18:20 +0000 2019
udeconcepcion,1248543046169766400,CakJuARHD,5161,339,2597,Fri Oct 18 13:25:53 +0000 2013
pucv_cl,573698774913546,Narclla19011974,31,136,22,Fri Mar 22 15:56:41 +0000 2013
usach,5593909670164609,luis_xe4n,5257,1597,269,Thu Jan 14 23:37:06 +0000 2010
userena,8080085333301117,Ceiiakanet,296,607,140,Thu Jun 25 20:25:03 +0000 2009
pucv_cl,163064734423871,alVxDfhsyeoe,61,221,40,Wed Mar 06 22:17:20 +0000 2013
pucv_cl,836201003335122688,DiegoJZonDh04,242,207,24,Sat Mar 14 00:37:58 +0000 2015
pucv_cl,1238245414884215552,ReslstnGbar,7,882,135,Thu Nov 14 03:45:05 +0000 2013
pucv_cl,985072909377269632,KiMnaciigtm,0,52,0,Sun Dec 08 22:15:34 +0000 2019
pucv_cl,11590509713795220,gber_4ulo7tY,22975,2390,11400,Mon Aug 08 19:18:03 +0000 2011
pucv_cl,3702429182522968,EJose4anelS,13,1085,103,Sat May 15 23:12:21 +0000 2010
