idx,count
1231,0
1232,0
1233,1
1234,0
1235,1
1236,0
1237,0
1238,0
1239,2
1240,2
1241,0
1242,0
1243,0
1244,0
1245,0
1246,0
1247,2
1248,2
1249,1
1250,1
1251,0
1252,0
1253,0
1254,0
1255,0
1256,0
1257,1
1258,1
1259,0
1260,0
1261,0
1262,0
1263,2
1264,0
1265,0
1266,1
1267,0
1268,0
1269,1
1270,0
1271,0
1272,2
1273,1
1274,1
1275,0
1276,2
1277,0
1278,0
1279,0
1280,1
1281,0
1282,0
1283,0
1284,0
1285,0
1286,0
1287,2
1288,0
1289,0
1290,1
1291,1
1292,0
1293,0
1294,1
1295,0
1296,0
1297,0
1298,0
1299,0
1300,1
1301,0
1302,0
1303,0
1304,1
1305,0
1306,2
1307,0
1308,0
1309,1
1310,0
1311,0
1312,1
1313,0
1314,0
1315,2
1316,0
1317,1
1318,2
1319,2
1320,1
1321,0
1322,0
1323,0
1324,1
1325,0
1326,0
1327,1
1328,0
1329,1
1330,2
1331,0
1332,0
1333,1
1334,0
1335,0
1336,0
1337,0
1338,2
1339,0
1340,1
1341,1
1342,0
1343,0
1344,1
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0
1352,1
1353,0
1354,0
1355,1
1356,1
1357,0
1358,0
1359,2
1360,1
1361,1
1362,1
1363,0
1364,1
1365,1
1366,0
1367,0
1368,0
1369,1
1370,0
1371,0
1372,1
1373,0
1374,0
1375,1
1376,1
1377,1
1378,0
1379,0
1380,0
1381,1
1382,1
1383,1
1384,0
1385,1
1386,0
1387,0
1388,1
1389,3
1390,0
1391,0
1392,1
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,1
1400,0
1401,0
1402,0
1403,1
1404,0
1405,0
1406,0
1407,0
1408,0
1409,0
1410,1
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,1
1420,0
1421,0
1422,1
1423,0
1424,0
1425,1
1426,2
1427,0
1428,0
1429,1
1430,0
1431,0
1432,0
1433,1
1434,0
1435,0
1436,1
1437,0
1438,0
1439,1
1440,0
1441,0
1442,1
1443,2
1444,0
1445,2
1446,0
1447,0
1448,0
1449,0
1450,2
1451,0
1452,0
1453,0
1454,0
1455,0
1456,0
1457,1
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,1
1467,0
1468,1
1469,4
1470,0
1471,1
1472,0
1473,1
1474,2
1475,0
1476,0
1477,0
1478,0
1479,0
1480,1
1481,0
1482,1
1483,0
1484,0
1485,0
1486,0
1487,1
1488,0
1489,1
1490,1
1491,2
1492,0
1493,0
1494,3
1495,1
1496,0
1497,0
1498,0
1499,1
1500,0
1501,0
1502,0
1503,0
1504,1
1505,0
1506,0
1507,1
1508,0
1509,1
1510,1
1511,0
1512,0
1513,0
1514,0
1515,1
1516,1
1517,0
1518,0
1519,0
1520,1
1521,0
1522,1
1523,0
1524,0
1525,0
1526,0
1527,0
1528,1
1529,0
1530,0
1531,3
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,1
1541,2
1542,0
1543,0
1544,2
1545,0
1546,0
1547,1
1548,0
1549,0
1550,1
1551,0
1552,0
1553,0
1554,0
1555,0
1556,1
1557,0
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,1
1565,1
1566,0
1567,0
1568,0
1569,0
1570,1
1571,0
1572,1
1573,0
1574,0
1575,0
1576,1
1577,0
1578,1
1579,0
1580,0
1581,0
1582,1
1583,0
1584,2
1585,0
1586,3
1587,0
1588,1
1589,0
1590,0
1591,1
1592,0
1593,0
1594,1
1595,0
1596,0
1597,0
1598,0
1599,2
1600,2
1601,1
1602,0
1603,1
1604,0
1605,1
1606,0
1607,3
1608,1
1609,0
1610,1
1611,2
1612,0
1613,1
1614,1
1615,0
1616,0
1617,0
1618,1
1619,1
1620,0
1621,0
1622,0
1623,0
1624,0
1625,0
1626,1
1627,0
1628,1
1629,0
1630,0
1631,1
1632,0
1633,0
1634,0
1635,0
1636,0
1637,1
1638,0
1639,0
